"Price","District","City","Type","EnergyCertificate","Parking","ConstructionYear","TotalArea","Elevator","TotalRooms","LivingArea","NumberOfBathrooms","lat","long"
377500,"Faro","Portimão","Apartment","A",1,2023,114,"True",3,114,2,37.0162727,-7.9351771
297500,"Faro","Portimão","Apartment","A",1,2023,99,"True",2,99,2,37.0162727,-7.9351771
5e+05,"Faro","Albufeira","Apartment","C",0,2007,94,"True",2,94,2,37.0162727,-7.9351771
455800,"Faro","Faro","Apartment","A",3,2023,145,"True",2,145,1,37.0162727,-7.9351771
413400,"Faro","Faro","Apartment","A+",3,2023,146,"True",2,146,1,37.0162727,-7.9351771
265000,"Faro","Loulé","Apartment","B-",1,1988,59,"False",1,59,1,37.0162727,-7.9351771
352500,"Faro","Portimão","Apartment","A",1,2023,88,"True",3,88,2,37.0162727,-7.9351771
292500,"Faro","Portimão","Apartment","A",1,2023,99,"True",2,99,2,37.0162727,-7.9351771
445200,"Faro","Faro","Apartment","A",3,2023,146,"True",2,146,1,37.0162727,-7.9351771
650000,"Faro","Loulé","Apartment","No Certificate",1,2023,103,"True",2,103,3,37.0162727,-7.9351771
262500,"Faro","Portimão","Apartment","A",1,2023,88,"True",2,88,2,37.0162727,-7.9351771
372500,"Faro","Portimão","Apartment","A",1,2023,114,"True",3,114,2,37.0162727,-7.9351771
382500,"Faro","Portimão","Apartment","A",1,2023,114,"True",3,114,2,37.0162727,-7.9351771
387500,"Faro","Portimão","Apartment","A",1,2023,114,"True",3,114,2,37.0162727,-7.9351771
362500,"Faro","Portimão","Apartment","A",1,2023,162,"True",3,114,2,37.0162727,-7.9351771
367500,"Faro","Portimão","Apartment","A",1,2023,114,"True",3,114,2,37.0162727,-7.9351771
297000,"Faro","Loulé","Apartment","No Certificate",0,1994,71,"True",1,63,1,37.0162727,-7.9351771
422500,"Faro","Faro","Apartment","A+",1,2021,89,"True",2,89,2,37.0162727,-7.9351771
680000,"Faro","Loulé","Apartment","No Certificate",1,2023,103,"True",2,103,3,37.0162727,-7.9351771
357500,"Faro","Portimão","Apartment","A",1,2023,114,"True",3,114,2,37.0162727,-7.9351771
279000,"Faro","Loulé","Apartment","E",1,1999,86,"True",1,60,1,37.0162727,-7.9351771
425000,"Faro","Faro","Apartment","A+",1,2021,87,"True",2,87,2,37.0162727,-7.9351771
242500,"Faro","Portimão","Apartment","A",0,2023,87,"True",2,87,2,37.0162727,-7.9351771
560000,"Faro","Faro","Apartment","A+",1,2021,83,"True",3,83,2,37.0162727,-7.9351771
260000,"Faro","Albufeira","Apartment","C",0,1981,95,"False",2,90,2,37.0162727,-7.9351771
348000,"Faro","Albufeira","Apartment","C",2,2005,107,"False",3,107,2,37.0162727,-7.9351771
1125000,"Faro","Loulé","House","C",0,1982,142,"False",3,120,2,37.0162727,-7.9351771
245000,"Faro","Portimão","Apartment","D",0,1993,80,"True",2,75,1,37.0162727,-7.9351771
715000,"Faro","Loulé","House","C",0,1989,160,"False",3,154,3,37.0162727,-7.9351771
235000,"Faro","Albufeira","Apartment","C",0,1990,130,"True",2,118,2,37.0162727,-7.9351771
4e+05,"Faro","Albufeira","House","C",1,2008,125,"False",3,81,3,37.0162727,-7.9351771
162500,"Faro","Olhão","Apartment","D",0,1981,94,"False",2,94,1,37.0162727,-7.9351771
340000,"Faro","Albufeira","Apartment","D",0,1982,73,"False",2,73,1,37.0162727,-7.9351771
220000,"Faro","Albufeira","Apartment","C",0,2003,90,"True",2,90,2,37.0162727,-7.9351771
450000,"Faro","Albufeira","House","E",0,1995,118,"False",2,90,3,37.0162727,-7.9351771
235000,"Faro","Albufeira","Apartment","C",0,1990,130,"True",2,118,2,37.0162727,-7.9351771
240000,"Faro","Portimão","Apartment","C",1,2008,58,"True",1,58,1,37.0162727,-7.9351771
220000,"Faro","Albufeira","Apartment","C",1,2007,47,"True",1,47,1,37.0162727,-7.9351771
238000,"Faro","Portimão","Apartment","C",0,1993,77,"True",3,77,2,37.0162727,-7.9351771
225000,"Faro","Portimão","Apartment","C",0,2004,98,"False",4,98,2,37.0162727,-7.9351771
249950,"Faro","Tavira","Apartment","C",0,2004,82,"False",2,79,2,37.0162727,-7.9351771
284000,"Faro","Loulé","Apartment","C",1,1988,67,"False",2,67,1,37.0162727,-7.9351771
279000,"Faro","Loulé","Apartment","E",1,1992,63,"True",1,63,1,37.0162727,-7.9351771
450000,"Faro","Faro","Apartment","C",0,1984,113,"False",3,113,2,37.0162727,-7.9351771
2e+05,"Lisboa","Sintra","Apartment","C",1,2000,79,"True",2,79,1,38.7077507,-9.1365919
265000,"Faro","Olhão","Apartment","E",0,2003,138,"True",3,138,2,37.0162727,-7.9351771
270000,"Faro","Faro","Apartment","C",1,2002,124,"False",2,96,2,37.0162727,-7.9351771
690000,"Faro","Olhão","Apartment","A+",1,2021,122,"True",2,122,2,37.0162727,-7.9351771
270000,"Faro","Olhão","Apartment","C",1,2006,155,"True",3,119,2,37.0162727,-7.9351771
250000,"Faro","Albufeira","Apartment","C",1,2002,72,"True",2,72,1,37.0162727,-7.9351771
308000,"Faro","Faro","Apartment","E",0,2002,125,"False",3,125,2,37.0162727,-7.9351771
199000,"Faro","Albufeira","Apartment","C",1,1989,55,"False",1,51,1,37.0162727,-7.9351771
190000,"Faro","Loulé","Apartment","D",0,1987,63,"True",1,63,2,37.0162727,-7.9351771
415000,"Faro","Portimão","Apartment","A",2,2019,104,"True",2,104,2,37.0162727,-7.9351771
2e+05,"Faro","Tavira","Apartment","D",0,1994,78,"False",2,72,1,37.0162727,-7.9351771
